news,type
"New 'yob' targets to be unveiled
 
 Fifty new areas getting special help to fight anti-social behaviour in England and Wales will be named on Thursday.
 
 Ten areas have already had access to special prosecutors and local experts and the government is now expanding the crackdown to more towns and cities. Details of how many anti-social behaviour orders (Asbos) were used in the last year are also being published. Labour sees nuisance behaviour as a key election issue but critics claim the record is at best patchy. A year ago, ministers launched their anti-social behaviour plan and Thursday's figures offer a progress check. They will say that in the past year more than 2,600 anti-social behaviour orders were issued by the courts - more than double the total used in the previous four years.
 
 Police have also closed 150 crack houses and issued more than 400 dispersal orders, breaking up groups of youths in public places. The 50 new pilot areas to get special attention will also receive extra government funding. Exeter and Cardiff are among cities who have voiced interest in being involved.
 
 Prime Minister Tony Blair is also expected to announce new measures to strengthen the use of Asbos and fixed penalty notices. There are still concerns that some areas of the country are not using the powers properly.
 
 He is expected to say that the new figures were heartening but he would not rest until similar action was taken in all areas of the country where it was needed. ""We have not defeated this problem by any means, but shown together what can be done,"" he will say. Mr Blair this week defended the shake-up of the licensing laws, saying it was right to focus on troublemakers rather than treating everybody as a potential drunken nuisance.
 
 Ministers also boast of record police numbers and are speeding up plans to put in place 25,000 community support officers (CSOs). But researchers from Leeds University warned that CSOs could undermine traditional bonds between police officers and communities. More work needed to be done on clarifying the role of different agencies and how they linked together before CSOs, they argued in a the study. Critics of the government say it has announced more than 20 initiatives to tackle nuisance behaviour when the real focus should be on good policing. Home Office Minister Hazel Blears also revealed this week that ""about a third"" of Asbos were breached - with some people jailed and others not.
",politics
"Newcastle line up Babayaro
 
 Newcastle manager Graeme Souness is closing in on signing Chelsea defender Celestine Babayaro when the transfer window reopens.
 
 Souness is bidding to bolster his defence and, according to reports, contract negotiations are at an advanced stage with the player. Babayaro has been in the Premiership since 1997 when he moved to Chelsea for £2.25m from Anderlecht. But the 26-year-old has been surplus to requirements this season. Souness would not be drawn on specifics over individual players.
 
 But he said: ""All I can tell you is that the chairman has worked really hard in the last couple of months to try to do deals. ""We have said from day one we want to strengthen, and that is what we are hoping to do in the coming weeks.""
",sport
"Europe backs digital TV lifestyle
 
 How people receive their digital entertainment in the future could change, following the launch of an ambitious European project.
 
 In Nice last week, the European Commission announced its Networked & Electronic Media (NEM) initiative. Its broad scope stretches from the way media is created, through each of the stages of its distribution, to its playback. The Commission wants people to be able to locate the content they desire and have it delivered seamlessly, when on the move, at home or at work, no matter who supplies the devices, network, content, or content protection scheme. More than 120 experts were in Nice to share the vision of interconnected future and hear pledges of support from companies such as Nokia, Intel, Philips, Alcatel, France Telecom, Thomson and Telefonica. It might initially appear to be surprising that companies in direct competition are keen to work together. But again and again, speakers stated they could not see incompatible, stand-alone solutions working. A long-term strategy for the evolution and convergence of technologies and services would be required.
 
 The European Commission is being pragmatic in its approach. They have identified that many groups have defined the forms of digital media in the areas that NEM encompasses. The NEM approach is to take a serious look at what is available and what is in the pipeline, pick out the best, bring them together and identify where the gaps are. Where it finds holes, it will develop standards to fill them. What is significant is that such a large and powerful organisation has stated its desire for digital formats to be open to all and work on any gadget. This is bound to please, if not surprise, many individuals and user organisations who feel that the wishes of the holder of rights to content are normally considered over and above those of the consumer. Many feel that the most difficult and challenging area for the Commission will be to identify a solution for different Digital Rights Management (DRM) schemes. Currently DRM solutions are incompatible, locking certain types of purchased content, making them unplayable on all platforms. With the potential of having a percentage of every media transaction that takes place globally, the prize for being the supplier of the world's dominant DRM scheme is huge. Although entertainment is an obvious first step, it will encompass the remote provisions of healthcare, energy efficiency and control of the smart home. The 10-year plan brings together the work of many currently running research projects that the EC has been funding for a number of years.
 
 Simon Perry is the editor of the Digital Lifestyles website, which covers the impact of technology on media
",tech
"Fears raised over ballet future
 
 Fewer children in the UK are following in the dainty footsteps of dancers like Darcey Bussell, and carving out potential careers as ballet dancers.
 
 New research from the Royal Academy of Dance (RAD) has found fewer children over the age of 10 are attending ballet classes and taking exams in the discipline. The organisation blames the growing popularity of computer games and other changes in lifestyle. And there are fears that if the trend is not reversed, there could be fewer British ballet stars in the future. The RAD found that the number of youngsters taking their ballet exams drops by almost 70% after the age of 10 or 11. Dance teacher Eve Trew, who has taught ballet for over 48 years, told BBC News she had seen a ""vast"" change over the years. She blamed modern lifestyles for the fall in ballet attendance. ""I think the children of many years ago did not have as many hobbies,"" she said. ""The trouble now is that they are wide open to computers, Gameboys and everything else children have got. ""As a result, there is less time being spent on ballet lessons.""
 
 Hazel Gilbert, 23, an information manager from Newcastle, gave up ballet at the age of 10 and is typical of the problem. ""It's not a very cool thing to do when you go to 'big' school and I think you have to be very focused on ballet to want to carry on doing it,"" she said. ""I used to love it, but after a certain age it becomes much more disciplined and I didn't want that. ""I started getting into other things, like swimming and kickboxing, and ballet just wasn't something I wanted to do any more."" Ms Trew, who runs a dance school in Gateshead, admitted it would be ""very difficult"" to reverse the trend and said many young ballet dancers were no longer willing to make the sacrifices to succeed. ""You have to be very dedicated and you have to be very disciplined. ""It is a career that you have got to really want to do because it is such hard work. ""Children these days have not got the time to spend perfecting it... that is very sad.""
 
 Currently, only two out of 16 principal dancers at the Royal Ballet - Darcey Bussell and Jonathan Cope - are British, compared to 16 of the 21 principals in 1985. But a spokesman for the English National Ballet told BBC News that although only two out of their 12 principal dancers were British, around a quarter of the company's dancers were from the UK. He said competition at open auditions in London was ""fierce"" between talented dancers from all over the world. The RAD have launched a new competition to try and reverse the decline in British ballet. Dame Antoinette Sibley, president of the RAD, launched the Fonteyn Nureyev Young Dancers competition earlier this week.
 
 Aimed at children aged 10 to 13, it is hoped the contest will help keep British ballet evolving. A spokeswoman for the RAD said: ""It is our responsibility to re-ignite the passion and nurture young dancers for the long-term future of ballet. ""We need to provide them with a framework and a goal to work towards, with constant support and coaching in an environment where they can work with their peers and possibly leading artists and choreographers. ""Perhaps more importantly provide them with the opportunity to experience 'performance' themselves. ""What better way to reignite a passion for ballet than to let them experience the thrill of performance?""
",entertainment
"Barkley fit for match in Ireland
 
 England centre Olly Barkley has been passed fit for Sunday's Six Nations clash with Ireland at Lansdowne Road.
 
 Barkley withdrew from Bath's team for Friday's clash with Gloucester after suffering a calf injury in training. Gloucester centre Henry Paul has also been cleared to play after overcoming an ankle injury. England coach Andy Robinson, who names his team on Wednesday, has called up Bath prop Duncan Bell following Phil Vickery's broken arm. With Vickery sidelined for at least six weeks and Julian White out with a neck injury, Bell could make his England debut. Bell, 30, had set his sights on an international career with Wales. But last December, the International Rugby Board confirmed that he could only be eligible for England as he had travelled on tour with them in 1998. ""I thought I'd burned all my bridges with England when I expressed an interest in wanting to play for Wales, so it's fantastic to get this opportunity,"" he said. Bell, who featured in the England A side which beat France 30-20 10 days ago, added: ""I recognise that I got into the England A squad because of injuries. ""And it's the same again in getting into the senior squad. But now that I have this opportunity I intend to take it fully if selected and play my heart out for my country.""
 
 England coach Andy Robinson could take a gamble and call inexperienced Sale Sharks prop Andrew Sheridan into his front row. But Sheridan favours the loosehead side of the scrum and a more likely scenario is for uncapped Bell - who was among the try-scorers when England A beat France A 30-20 nine days ago - to be drafted in.
",sport
"France Telecom gets Orange boost
 
 Strong growth in subscriptions to mobile phone network Orange has helped boost profits at owner France Telecom.
 
 Orange added more than five million new customers in 2004, leading to a 10% increase in its revenues. Increased take-up of broadband telecoms services also boosted France Telecom's profits, which showed a 5.5% rise to 18.3bn euros ($23.4bn; £12.5bn). France Telecom is to spend 578m euros on buying out minority shareholders in data services provider Equant.
 
 France Telecom, one of the world's largest telecoms and internet service providers, saw its full-year sales rise 2.2% to 47.2bn euros in 2004.
 
 Orange enjoyed strong growth outside France and the United Kingdom - its core markets - swelling its subscriber base to 5.4 million. France Telecom's broadband customers also increased, rising to 5.1 million across Europe by the end of the year. The firm said it had met its main strategic objectives of growing its individual businesses and further reducing its large debt. An ill-fated expansion drive in the late 1990s saw France Telecom's debt soar to 72bn euros by 2002. However, this has now been reduced to 43.9bn euros. ""Our results for 2004 allow us to improve our financial structure while focusing on the innovation that drives our strategy,"" said chief executive Thierry Breton.
 
 Looking ahead, the company forecast like-for-like sales growth of between 3% and 5% over the next three years. France Telecom is consolidating its interest in Equant, which provides telecoms and data services to businesses. Subject to approval by shareholders of the two firms, it will buy the shares in Equant it does not already own. France Telecom said it would fund the deal by selling an 8% stake in telephone directory company PagesJaunes.
",business
"MCI shareholder sues to stop bid
 
 A shareholder in US phone firm MCI has taken legal action to halt a $6.75bn (£3.6bn) buyout by telecoms giant Verizon, hoping to get a better deal.
 
 The lawsuit was filed on Friday after Qwest Communications, which had an earlier offer for MCI rejected, said it would submit an improved bid. MCI's directors have backed Verizon, despite it tabling less money. They are accused of breaching their fiduciary duties by depriving MCI shareholders ""of maximum value"".
 
 According the legal papers filed in a Delaware court, Verizon is set to pay an """"unconscionable, unfair and grossly inadequate"" sum for MCI, which was formerly known as Worldcom. Qwest said on Wednesday that MCI had rejected a deal worth $8bn. A number of large MCI shareholders expressed unhappiness at the decision, saying that Verizon's offer, made up of cash, shares and dividends, undervalued the company. Friday's lawsuit argues that the Verizon offer makes no provision for future growth prospects and that consolidation in the US phone industry will put a premium on MCI's network, assets and clients. MCI's directors have argued that Verizon is bigger than Qwest, has fewer debts and has built a successful mobile division. Chief executive Michael Capellas spent last week meeting with shareholders in an effort to win their backing.
 
 In 2002, investors in the then-named Worldcom lost millions when the company filed for bankruptcy following an accounting scandal. However, the firm - now renamed MCI - has put its operations in order and emerged from bankruptcy protection last April. It is a long-distance and corporate phone firm, and would provide the buyer with access to a global telecommunications network and a large number of business-based subscribers. MCI shares jumped on Friday, hitting their highest level since April 2004 amid speculation that it would be the focus of a bidding war. A takeover of MCI would be the fifth billion-dollar telecoms deal since October as companies look to cut costs and boost client bases. Earlier this month, SBC Communications agreed to buy its former parent and phone pioneer AT&T for about $16bn.
",business
"Kennedy calls for Iraq exit plans
 
 Tony Blair should set out a proper exit strategy from Iraq in the wake of next Sunday's elections in the country, Lib Dem leader Charles Kennedy has said.
 
 In a speech focusing on issues arising from the re-election of George W Bush, Mr Kennedy said Iraq had become a ""crucible of militant terrorism"". He wants to see a phased withdrawal of UK troops ""as soon as the situation allows"", he said in London. Any exit strategy must ""augment and support"" the democratic process.
 
 ""There are some who are of the opinion that the mere presence of British and American troops in Iraq feeds the insurgency,"" he said. ""There is some truth in that, especially after the initial mistakes that were made - the heavy-handedness of operations like Fallujah, and the well-publicised instances of abuse at the hands of coalition forces."" Mr Kennedy pointed out that the Netherlands, Portugal and the Czech Republic, which all have troops operating in the southern sector of Iraq, have announced their imminent withdrawal ""regardless of the situation on the ground"".
 
 He accused Mr Blair's government of ""being less than straightforward"" over its plans. ""Next week the prime minister should make a statement regarding the elections in Iraq,"" Mr Kennedy said during his City of London speech. ""He should set out a proper exit strategy, including the phased withdrawal of British troops, as the security situation allows."" Mr Kennedy also argued that British troops deployed in Iraq should be replaced with forces from other countries - ""especially Islamic countries"".
",politics
"Johnson uncertain about Euro bid
 
 Jade Johnson is undecided about whether to contest next month's European Indoor Championships in Madrid despite winning the AAAs long jump title on Saturday.
 
 The 24-year-old delivered a personal best of 6.50m to win the European trials but had to wait until her final jump after four failures. ""I don't want to go if I am not going to get a medal,"" said Johnson. ""I will have to see how I am jumping in the next competition and I'll have to have a conversation with my coach."" Johnson, who finished seventh in last year's Olympic Games, has not competed indoors since 2000. And the Commonwealth and European silver medallist believes her lack of experience in the early part of the season has knocked her confidence. ""It's the stress,"" said Johnson. ""I am not used to feeling this, this early. I am just used to training. ""But if I'm doing this kind of thing, then I will have to see how it goes."" Johnson next competes in the high-class Birmingham Grand Prix on 18 February.
",sport
"Parmalat founder offers apology
 
 The founder and former boss of Parmalat has apologised to investors who lost money as a result of the Italian dairy firm's collapse.
 
 Calisto Tanzi said he would co-operate fully with prosecutors investigating the background to one of Europe's largest financial scandals. Parmalat was placed into bankruptcy protection in 2003 after a 14bn euro black hole was found in its accounts. More than 130,000 people lost money following the firm's collapse. Mr Tanzi, 66, issued a statement through his lawyer after five hours of questioning by prosecutors in Parma on 15 January.
 
 Prosecutors are seeking indictments against Mr Tanzi and 28 others - including several members of his family and former Parmalat chief financial officer Fausto Tonna - for alleged manipulation of stock market prices and making misleading statements to accountants and Italy's financial watchdog. Two former Parmalat auditors will stand trial later this month for their role in the firm's collapse.
 
 ""I apologise to all who have suffered so much damage as a result of my schemes to make my dream of an industrial project come true,"" Mr Tanzi's statement said. ""It is my duty to collaborate fully with prosecutors to reconstruct the causes of Parmalat's sudden default and who is responsible."" Mr Tanzi spent several months in jail in the wake of Parmalat's collapse and was kept under house arrest until last September. Parmalat is now being run by a state appointed administrator, Enrico Bondi, who has launched lawsuits against 80 banks in an effort to recover money for the bankrupt company and its shareholders. He has alleged that these companies were aware of the true state of Parmalat's finances but continued to lend money to the company. The companies insist they were the victims of fraudulent book-keeping. Parmalat was declared insolvent after it emerged that 4 billion euros (£2.8bn; $4.8bn) it supposedly held in an offshore account did not in fact exist. The firm's demise sent shock waves through Italy, where its portfolio of top-selling food brands and its position as the owner of leading football club Parma had turned it into a household name.
",business
