,Sentence #,Word,POS,Tag
0,Sentence: 1,Thousands,NNS,O
1,Sentence: 1,of,IN,O
2,Sentence: 1,demonstrators,NNS,O
3,Sentence: 1,have,VBP,O
4,Sentence: 1,marched,VBN,O
5,Sentence: 1,through,IN,O
6,Sentence: 1,London,NNP,B-geo
7,Sentence: 1,to,TO,O
8,Sentence: 1,protest,VB,O
9,Sentence: 1,the,DT,O
10,Sentence: 1,war,NN,O
11,Sentence: 1,in,IN,O
12,Sentence: 1,Iraq,NNP,B-geo
13,Sentence: 1,and,CC,O
14,Sentence: 1,demand,VB,O
15,Sentence: 1,the,DT,O
16,Sentence: 1,withdrawal,NN,O
17,Sentence: 1,of,IN,O
18,Sentence: 1,British,JJ,B-gpe
19,Sentence: 1,troops,NNS,O
20,Sentence: 1,from,IN,O
21,Sentence: 1,that,DT,O
22,Sentence: 1,country,NN,O
23,Sentence: 1,.,.,O
24,Sentence: 2,Families,NNS,O
25,Sentence: 2,of,IN,O
26,Sentence: 2,soldiers,NNS,O
27,Sentence: 2,killed,VBN,O
28,Sentence: 2,in,IN,O
29,Sentence: 2,the,DT,O
30,Sentence: 2,conflict,NN,O
31,Sentence: 2,joined,VBD,O
32,Sentence: 2,the,DT,O
33,Sentence: 2,protesters,NNS,O
34,Sentence: 2,who,WP,O
35,Sentence: 2,carried,VBD,O
36,Sentence: 2,banners,NNS,O
37,Sentence: 2,with,IN,O
38,Sentence: 2,such,JJ,O
39,Sentence: 2,slogans,NNS,O
40,Sentence: 2,as,IN,O
41,Sentence: 2,"""",``,O
42,Sentence: 2,Bush,NNP,B-per
43,Sentence: 2,Number,NN,O
44,Sentence: 2,One,CD,O
45,Sentence: 2,Terrorist,NN,O
46,Sentence: 2,"""",``,O
47,Sentence: 2,and,CC,O
48,Sentence: 2,"""",``,O
49,Sentence: 2,Stop,VB,O
50,Sentence: 2,the,DT,O
51,Sentence: 2,Bombings,NNS,O
52,Sentence: 2,.,.,O
53,Sentence: 2,"""",``,O
54,Sentence: 3,They,PRP,O
55,Sentence: 3,marched,VBD,O
56,Sentence: 3,from,IN,O
57,Sentence: 3,the,DT,O
58,Sentence: 3,Houses,NNS,O
59,Sentence: 3,of,IN,O
60,Sentence: 3,Parliament,NN,O
61,Sentence: 3,to,TO,O
62,Sentence: 3,a,DT,O
63,Sentence: 3,rally,NN,O
64,Sentence: 3,in,IN,O
65,Sentence: 3,Hyde,NNP,B-geo
66,Sentence: 3,Park,NNP,I-geo
67,Sentence: 3,.,.,O
68,Sentence: 4,Police,NNS,O
69,Sentence: 4,put,VBD,O
70,Sentence: 4,the,DT,O
71,Sentence: 4,number,NN,O
72,Sentence: 4,of,IN,O
73,Sentence: 4,marchers,NNS,O
74,Sentence: 4,at,IN,O
75,Sentence: 4,"10,000",CD,O
76,Sentence: 4,while,IN,O
77,Sentence: 4,organizers,NNS,O
78,Sentence: 4,claimed,VBD,O
79,Sentence: 4,it,PRP,O
80,Sentence: 4,was,VBD,O
81,Sentence: 4,"1,00,000",CD,O
82,Sentence: 4,.,.,O
83,Sentence: 5,The,DT,O
84,Sentence: 5,protest,NN,O
